,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
,,en,ar,zh-CN,zh-TW,nl,fil,fi,fr,de,hi,id,it,ko,ja,ms,no,pl,pt,pt,ru,es,sv,th,tr,tr,vi
1,Little Star,Twinkle Twinkle Little Star,بريق بريق يا نجمة الصغيرة,一闪一闪小星星,一閃一閃小星星,"Twinkel, twinkel, kleine ster","Kintab, kintab, maliit na bituin","Tuikkele, tuikkele, pieni tähti","Brille, brille, petite étoile","Funkel, funkel, kleiner Stern","चमको, चमको, छोटे तारे","Bersinar, bersinar, bintang kecil","Brilla, brilla, stellina",반짝반짝 작은별,きらきら ひかる、小さな星,"Bersinar, bersinar, bintang kecil","Blink, blink, lille stjerne","Błyszcz, błyszcz, mała gwiazdko","Brilha, brilha, estrelinha","Brilha, brilha, estrelinha","Мерцай, мерцай, маленькая звезда","Brilla, brilla, estrellita","Gnistra, gnistra, lilla stjärna",ส่องส่อง ดาวเล็กน้อย,"Parıldayın, parıldayın, küçük yıldız",Parılda Parılda Küçük Yıldız,"Lấp lánh, lấp lánh, ngôi sao nhỏ"
2,Jingle Bells,Jingle Bells,أجراس الميلاد,铃儿响叮当,鈴兒響叮噹,Jingle Bells,Jingle Bells,kulkuset,vive le vent,Jingle Bells,गीत की घंटी,Jingle Bells,Campanellini,징글벨,ジングルベル,Jingle Bells,Bjelleklang,dzwonią dzwonki,os sinos de tinir,os sinos de tinir,Джингл Белз,Timbre,bjäller klang,ระฆังกริ๊ง,Ziller Çalıyor,Ziller Çalıyor,rung chuông
3,Canon,Canon,كاهن,卡农,卡農,Canon,Canon,Kaanoni,Canon,Canon,कैनन,Canon,Canone,카논,カノン,Kanon,Kanon,Kanon,Cânone,Cânone,Канон,Canon,Kanon,หลักการ,Kanon,Kanon,Canon
4,Two Tigers,Frère Jacques,الأخ جون,两只老虎,兩隻老虎,Vader Jacob,Kapatid na James,Jaakko Kulta,Frère Jacques,Bruder Jakob,भैया जॉन,Frère Jacques,Fra' Martino,프레르 자크,フレール・ジャック,Saudara Jacques,Fader Jakob,Panie Janie,Frei João,Frei João,Братец Жак,Fray Santiago,Broder Jakob,พี่จอห์น,Kardeş Jakob,Kardeş Jacques,Anh Giắc
5,Happy New Year,"Oh my darling, Clementine",سنة جديدة سعيدة,新年快乐,新年快樂,Gelukkig nieuwjaar,Happy New Year,Hyvää uutta vuotta,Bonne année,Happy New Year,नए साल की शुभकामनाएँ,Selamat tahun baru,Buon Anno,해피 뉴 이어,ハッピー・ニュー・イヤー,Selamat tahun Baru,Godt nytt år,Szczęśliwego nowego roku,Feliz Ano Novo,Feliz Ano Novo,С новым годом,Feliz año nuevo,Gott nytt år,สวัสดีปีใหม่,Mutlu yıllar,"Ah canım, Clementine",CHÚC MỪNG NĂM MỚI
6,Beyer No.8,Beyer No.8,باير No.8,拜厄练习曲No.8,拜厄練習曲No.8,Beyer nr. 8,Beyer No.8,Beyer nro 8,Beyer No.8,Beyer Nr.8,बेयर नंबर 8,Beyer No.8,Beyer n. 8,Beyer No. 8,ねこふんじゃった,Beyer No.8,Beyer No.8,Beyer nr 8,Beyer No.8,Beyer No.8,Байер №8,Beyer No.8,Beyer nr 8,เบเยอร์หมายเลข 8,Beyer No.8,Beyer No.8,Beyer số 8
7,Bluestone Alley,Bluestone Alley,زقاق أزرق,青石巷,青石巷,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,ब्लूस्टोन गली,Alley Bluestone,Bluestone Alley,유리성,ブルーストーン・アレイ,Bluestone Alley,Bluestone Alley,Bluestone Alley,Alley Bluestone,Alley Bluestone,Цин Ши Сян,Callejón azul,Blåsten gränd,บลูสโตนซอย,Mavimsi sokak,Mavi Taş Sokak,Hẻm màu xanh
8,Jasmine,Jasmine,الياسمين,茉莉花,茉莉花,Jasmijn,Jasmine,Jasmiini,Jasmin,Jasmine,चमेली,Melati,Gelsomino,모리화,ジャスミン,Jasmine,Jasmine,Jaśmin,Jasmim,Jasmim,Жасмин,Jazmín,Jasmin,ดอกมะลิ,Yasemin,Yasemin,Jasmine
9,Dolls and Bear Dancing,Dolls and Bear Dancing,الدمى والدب الراقص,洋娃娃和小熊跳舞,洋娃娃和小熊跳舞,Poppen en berendansen,Dolls and Bear Dancing,Nukke ja karhun tanssi,Poupées et bourse d'ours,Doll and Bear Dancing,गुड़िया और भालू नृत्य,Boneka dan menari,Bambole e balli di orso,곰과 인형의 춤,はたけのポルカ,Anak patung dan menari menari,Dukker og bjørnedans,Lalki i taniec niedźwiedzi,Bonecas e dança de urso,Bonecas e dança de urso,Польские песни,Muñecas y bailes de oso,Dockor och björndans,ตุ๊กตาและหมีเต้น,Bebekler ve ayı dansı,Bebekler ve Ayı Dansı,Búp bê và gấu nhảy múa
10,Happy Birthday to You,Happy Birthday to You,عيد ميلاد سعيد,祝你生日快乐,祝你生日快樂,Gefeliciteerd,Happy Birthday to You,Hyvää syntymäpäivää sinulle,Joyeux anniversaire à toi,Happy Birthday to You,आपको जन्मदिन की शुभकामनाएँ,Selamat ulang tahun,Buon compleanno,생일 축하합니다,お誕生日のうた,Selamat Hari Lahir kepada anda,Gratulerer med dagen,Wszystkiego najlepszego z okazji urodzin,Feliz Aniversário,Feliz Aniversário,С днём рождения,Feliz cumpleaños,Grattis på födelsedagen,สุขสันต์วันเกิด,Doğum günün kutlu olsun,Doğum Günün Kutlu Olsun,Chúc mừng sinh nhật
11,Heidenroslein,Heidenroslein,روز البرية,野玫瑰,野玫瑰,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Heideröslein,हेयडेनरोसलिन,Heidenroslein,Heidenroslein,들장미,野ばら,Heidenroslein,Heidenrolein,Heidenroslein,Heidenroslein,Heidenroslein,Дикая роза,Heidenroslein,Heidenroslein,Heidenroslein,Kır Gülü,Kır Gülü,Heidenroslein
12,The Painter,The Painter,الرسام,粉刷匠,粉刷匠,De schilder,The Painter,Maalari,Le peintre,The Painter,पेंटर,Tukang Cat,Il pittore,화가,ペインター,Pelukis,Maleren,Malarz,O pintor,O pintor,Художник,El pintor,Målaren,จิตรกร,Ressam,Ressam,Họa sĩ
13,Nocturne Op.9 No.2,Nocturne Op.9 No.2,نوكتيورن No.2 Op.9,降E大调夜曲,降E大調夜曲,Nocturne Op.9 nr. 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 Nr.2,Nocturne op.9 No.2,Nocturne OP.9 No.2,Nocturne Op.9 n. 2,녹턴 Op.9 No.2,夜想曲 Op.9-2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne op.9 nr 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,НоктюрнOp.9 №2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2
14,The Ruins of Athens No.4,The Ruins of Athens No.4,أطلال أثينا No.4,雅典的废墟No.4,雅典的廢墟No.4,De ruïnes van Athene nr. 4,The Ruins of Athens No.4,Ateenan rauniot nro 4,Les ruines d'Athènes n ° 4,Die Ruinen von Athen Nr.4,एथेंस नंबर 4 के खंडहर,Reruntuhan Athena No.4,Le rovine di Atene n. 4,아테네의 폐허,トルコ行進曲,Runtuhan Athens No.4,Ruinene av Athen No.4,Ruiny Ateny nr 4,As ruínas de Atenas No.4,As ruínas de Atenas No.4,Афинские развалины №4,Las ruinas de Atenas No.4,Ruinerna av Aten nr 4,ซากปรักหักพังของเอเธนส์หมายเลข 4,Atina No.4 kalıntıları,Atina Harabeleri No.4,Tàn tích của Athens số 4
15,Waltz in A minor,Waltz in A minor,فالس في سلم لا الصغير,a小调圆舞曲,a小調圓舞曲,Wals in een minderjarige,Waltz in A minor,Valssi alaikäisellä,Valse dans un mineur,Waltz in A minor,एक नाबालिग में वाल्ट्ज,Waltz di bawah umur,Valzer in un minore,왈츠 가단조,ワルツ イ短調,Waltz dalam minor,Vals i en mindreårig,Waltz w nieletnim,Valsa em um menor,Valsa em um menor,Вальс ля минор,Vals en un menor,Vals i en mindreårig,วอลทซ์ในผู้เยาว์,Bir küçük vals,A minör Valsi,Waltz trong trẻ vị thành niên
16,Gavotte,Gavotte,رقصة الغافوتية,加沃特舞曲,加沃特舞曲,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,गवोटे,Gavotte,Gavotta,가보트,ガヴォット,Gavotte,Gavotte,Gawot,Gavota,Gavota,Гавот,Gavota,Gavott,Gavotte,Gavot dansı,Gavotte,Gavotte
